33,139,1
33,194,1
139,194,1
211,74,1
211,348,1
74,348,1
405,289,1
405,145,1
289,145,1
423,281,1
423,230,1
281,230,1
219,419,1
219,383,1
419,383,1
310,359,1
310,419,1
359,419,1
363,365,1
363,247,1
365,247,1
207,139,1
207,374,1
139,374,1
461,468,1
461,296,1
468,296,1
154,166,1
154,177,1
166,177,1
68,292,1
68,14,1
292,14,1
106,79,1
106,187,1
79,187,1
496,134,1
496,89,1
134,89,1
126,460,1
126,385,1
460,385,1
118,175,1
118,343,1
175,343,1
182,321,1
182,421,1
321,421,1
438,202,1
438,50,1
202,50,1
287,260,1
287,402,1
260,402,1
300,237,1
300,94,1
237,94,1
454,282,1
454,364,1
282,364,1
28,150,1
28,411,1
150,411,1
461,243,1
461,113,1
243,113,1
45,66,1
45,135,1
66,135,1
476,23,1
476,7,1
23,7,1
193,345,1
193,153,1
345,153,1
165,47,1
165,484,1
47,484,1
216,110,1
216,452,1
110,452,1
378,216,1
378,358,1
216,358,1
248,328,1
248,304,1
328,304,1
127,156,1
127,55,1
156,55,1
