1,2,0.07165061672461959
1,3,0.6974687472562708
1,4,0.925015972991462
1,5,0.3140724389711591
1,6,0.516404770575972
1,7,0.014507070777852293
1,8,0.05949369675024707
1,9,0.5017865635037926
1,10,0.6378779631686693
2,3,0.8753999605481009
2,4,0.01905005388706682
2,5,0.9949476535717456
2,6,0.6526502702514232
2,7,0.9347858389436519
2,8,0.01659069449870265
2,9,0.25925254395414643
2,10,0.8333647886558484
3,4,0.9299464364459475
3,5,0.28379939162434864
3,6,0.8549455562605299
3,7,0.7455140397893507
3,8,0.0781509863075327
3,9,0.1669992054428715
3,10,0.46697229982838273
4,5,0.04259376192597153
4,6,0.17710278680566383
4,7,0.7251496816492164
4,8,0.5310622225619961
4,9,0.9887612831292016
4,10,0.31825922530295236
5,6,0.5885004277757013
5,7,0.13502490660397704
5,8,0.7771320850990757
5,9,0.6356986456173159
5,10,0.6707491571266337
6,7,0.5640226148458463
6,8,0.04233342051850908
6,9,0.002789703724456194
6,10,0.2018742801800948
7,8,0.30939133492059945
7,9,0.7080787545083771
7,10,0.7422285767625356
8,9,0.4634886877612032
8,10,0.041426284448522255
9,10,0.7030176785992053
